Date,Return
2018-01-03,0.6325101249993637
2018-01-04,0.4214712751361427
2018-01-05,0.6663805209223161
2018-01-08,0.18291289882135242
2018-01-09,0.22633173684849517
2018-01-10,-0.15299050336671227
2018-01-11,0.7295875282708364
2018-01-12,0.6519084829814448
2018-01-16,-0.34180585091740934
2018-01-17,0.95314161012785
2018-01-18,-0.16808610925732603
2018-01-19,0.45498804959580585
2018-01-22,0.8130926443462139
2018-01-23,0.21222796614284167
2018-01-24,-0.03883918204584669
2018-01-25,0.04239535980832265
2018-01-26,1.1577377038275438
2018-01-29,-0.6629482746627668
2018-01-30,-1.0257128757018896
2018-01-31,0.04968392689681522
2018-02-01,-0.11352263749333513
2018-02-02,-2.176997199171249
2018-02-05,-4.182255527835743
2018-02-06,1.9702562537133872
2018-02-07,-0.5424981742849888
2018-02-08,-3.7509036267534546
2018-02-09,1.5021737308305028
2018-02-12,1.4684648774166975
2018-02-13,0.24870187188084092
2018-02-14,1.3496249055926723
2018-02-15,1.2760382697327932
2018-02-16,0.029267835522617247
2018-02-20,-0.6261053731342114
2018-02-21,-0.49743919497499123
2018-02-22,0.12959906876637284
2018-02-23,1.5939433069943831
2018-02-26,1.1612256490962425
2018-02-27,-1.248662726994243
2018-02-28,-1.0129811859082682
2018-03-01,-1.45407490126499
2018-03-02,0.5154681121353422
2018-03-05,1.155824833374064
2018-03-06,0.2535015738566848
2018-03-07,-0.03663975611848391
2018-03-08,0.4838689538643415
2018-03-09,1.7402968418872122
2018-03-12,-0.125568293553302
2018-03-13,-0.6462352232648128
2018-03-14,-0.513154596530141
2018-03-15,-0.10897187311107448
2018-03-16,0.10844319790057622
2018-03-19,-1.3530573364569753
2018-03-20,0.17010634383980427
2018-03-21,-0.191966197170923
2018-03-22,-2.4996854371939103
2018-03-23,-2.131463905201858
2018-03-26,2.735880735211027
2018-03-27,-1.7011645365383576
2018-03-28,-0.29548364706788455
2018-03-29,1.277751006592509
2018-04-02,-2.1584425792788076
2018-04-03,1.2816844605942013
2018-04-04,1.0699207917078457
2018-04-05,0.7891927717471381
2018-04-06,-2.2285822635876973
2018-04-09,0.4928462929283839
2018-04-10,1.5900204813402041
2018-04-11,-0.5242205370951769
2018-04-12,0.822706796370043
2018-04-13,-0.29331061928714597
2018-04-16,0.8221802737262696
2018-04-17,1.0698443055297435
2018-04-18,0.0740197780796148
2018-04-19,-0.5547440885771637
2018-04-20,-0.8479460238929315
2018-04-23,-0.014971739388647265
2018-04-24,-1.3467410111700828
2018-04-25,0.24718258410798555
2018-04-26,1.0165286082013614
2018-04-27,0.09388893598423209
2018-04-30,-0.7690508301861243
2018-05-01,0.1776823819191531
2018-05-02,-0.6717573503455476
2018-05-03,-0.22036079868996694
2018-05-04,1.2946601220473752
2018-05-07,0.33831029597926054
2018-05-08,0.0
2018-05-09,0.9665748352618353
2018-05-10,0.9350792644577277
2018-05-11,0.30512752241389496
2018-05-14,0.047643168383659784
2018-05-15,-0.688702288602816
2018-05-16,0.4205041056651204
2018-05-17,-0.0844431760046227
2018-05-18,-0.2500111103387659
2018-05-21,0.751805306295017
2018-05-22,-0.2779957121435417
2018-05-23,0.2751259196157374
2018-05-24,-0.20483810249501966
2018-05-25,-0.23829105608134116
2018-05-29,-1.150104139900343
2018-05-30,1.334470073079408
2018-05-31,-0.6125981330348584
2018-06-01,0.9818193813086795
2018-06-04,0.4750751993651825
2018-06-05,0.07281422337905852
2018-06-06,0.8360281825876559
2018-06-07,-0.010795141975050715
2018-06-08,0.2956288489006864
2018-06-11,0.1330116409326898
2018-06-12,0.12922477191401605
2018-06-13,-0.3190826855892448
2018-06-14,0.2517948137973125
2018-06-15,-0.12757670974413715
2018-06-18,-0.20573201638779404
2018-06-19,-0.38325901513175387
2018-06-20,0.17060343037531567
2018-06-21,-0.626878336590464
2018-06-22,0.18230173522022497
2018-06-25,-1.3612776224633194
2018-06-26,0.2214117238333202
2018-06-27,-0.8284359879662473
2018-06-28,0.5717656417061345
2018-06-29,0.143965595583051
2018-07-02,0.21377690371495728
2018-07-03,-0.3531091348551896
2018-07-05,0.8157877034525418
2018-07-06,0.8458441198288646
2018-07-09,0.900401775458004
2018-07-10,0.3598571971161757
2018-07-11,-0.7314247794507955
2018-07-12,0.9065793878948236
2018-07-13,0.07877224524339699
2018-07-16,-0.08945265569967331
2018-07-17,0.4045696865040638
2018-07-18,0.21031116370384684
2018-07-19,-0.37711663021636754
2018-07-20,-0.11429551034402019
2018-07-23,0.18595192281287698
2018-07-24,0.5031640398221571
2018-07-25,0.8522610018500076
2018-07-26,-0.2359327219617402
2018-07-27,-0.6776047614933334
2018-07-30,-0.522340190290771
2018-07-31,0.4929154804939939
2018-08-01,-0.16703759387867168
2018-08-02,0.5447632080662901
2018-08-03,0.4284652343615969
2018-08-06,0.3667149567064154
2018-08-07,0.3302685656742854
2018-08-08,-0.042026348317325546
2018-08-09,-0.13664756219163854
2018-08-10,-0.6700165892489673
2018-08-13,-0.3743016617722361
2018-08-14,0.6380502298275248
2018-08-15,-0.746778678738369
2018-08-16,0.8091902834623799
2018-08-17,0.3520292269171277
2018-08-20,0.21399109540130024
2018-08-21,0.23453770723382839
2018-08-22,-0.05936084978633849
2018-08-23,-0.13280406598856764
2018-08-24,0.6018351560364898
2018-08-27,0.7895630449267887
2018-08-28,0.04833291665666817
2018-08-29,0.5380633268061263
2018-08-30,-0.4048519181591659
2018-08-31,0.0034250773772281917
2018-09-04,-0.17222825067684244
2018-09-05,-0.2691220962278251
2018-09-06,-0.30103484955552595
